Year,Descriptor,Question,Answer,Score,Justification
2022,SAQ3A_A response,Describe one significant cultural or intellectual change during the Renaissance.,"One significant intellectual change during the Renaissance is the shift to the classics of ancient Greece and Rome. The Renaissance changed the intellectual scene away from theology to a study of classical art, as portrayed in Pico Della Mirandela's Platonic Academy. These ideals would create the perfect Tennisance person, through the classics not religon",1,2
2022,SAQ3A_B response,Describe one significant cultural or intellectual change during the Renaissance.,"The Renaissance was a period of significant cultural & intellectual change. Many people began to shift their focus & ideologies towards more classic Greek & Roman literature & politics, & it began shift to secularism. Rather than view the world with regards to religion & God in every second of the day, people began to think in a more secular, rational, way.",1,1
2022,SAQ3A_Creponse,Describe one significant cultural or intellectual change during the Renaissance.,During the Renaissance a significant cultural change was the expansion of humanism. Society adapted the idea's of humanism and the culture of soceity changed.,0,-1
2022,SAQ3B_A response,Explain one cause of cultural or intellectual change during the Renaissance.,"One cause of the intellectual change to the classics is Petrarch. Petrarch was the first to start the study of the classics, as humanism. These changes are shown by his title the Father of Humanism. Petrarch began the path for the Renaissance study of the classics by shifting away from religion.",1,1
2022,SAQ3B_B response,Explain one cause of cultural or intellectual change during the Renaissance.,"Many of the cultural & intellectual changes during the Renaissance were caused, largely in part by the printing press. Before, literary works had to be written & copied by hand, but with the introduction of the printing press, these works could now be mass produced & spread much faster, & in vernacular languages too.",1,2
2022,SAQ3B_C response,Explain one cause of cultural or intellectual change during the Renaissance.,One cause of intellectual change during the renaissance was the Gutenberg press. This usas the first advanced piece of technology that affected all of society because it allowed people's ideas to spread through publication.,1,2
2022,SAQ3C_A response,Describe a significant difference between the art of the Italian Renaissance and the art of the Protestant Reformation,"A significant difference in art of the Renaissance and the Protestant Reformation is the focus. In renaissance art, the focus is on classical ideas, like the gods and godesses, while the Protestant Reformation focused on the glorification of God and biblical stories. An example of this is the sthead of Athens, which has a focus on Plato and Aristotle, showing the Renaissance focus on the classics.",1,1
2022,SAQ3C_B response,Describe a significant difference between the art of the Italian Renaissance and the art of the Protestant Reformation,"The art of the Italian Renaissance & of the Protestant reformation differed in that Italian Renaissance art was more focused on the details of the natural world, wheras art of the Protestant reformation focused more on humanism, & human beings.",0,-1
2022,SAQ3C_C response,Describe a significant difference between the art of the Italian Renaissance and the art of the Protestant Reformation,"The key difference of art during the Italian Renaissance and the protestant Reformation, was the Art during the protestant reformation was more romantisized where as the art from the renaissance depicted more naturalist ideas and qualities, because the artwork was meant to capture reality and what is actually being shown where art from the protestant reformation was more symbolic and meant to be interpreted based on the symbols in the artwork.",0,-1
2022,SAQ4A_A response,Describe one significant change in the relationship between Western Europe and other parts of the world after 1945.,"Prior to 1945, western Europe singled handedly dominated the rest of the world through vast colony empires. After 1945 however, the west for the most part lost control of these empires and the process of decolobization post WWII preripltated that.",1,3
